avert_true,avert_m1,avert_m3,nsam,lag,seed,deterministic
28349,25760,28121,1000000,14,1,FALSE
28179,25799,28160,1000000,14,2,FALSE
28453,25740,28100,1000000,14,3,FALSE
28061,25837,28203,1000000,14,4,FALSE
27690,25947,28325,1000000,14,5,FALSE
27455,26016,28404,1000000,14,6,FALSE
28227,25786,28146,1000000,14,7,FALSE
28199,25780,28132,1000000,14,8,FALSE
28166,25815,28182,1000000,14,9,FALSE
28587,25707,28074,1000000,14,10,FALSE
27446,26013,28394,1000000,14,11,FALSE
27643,25938,28309,1000000,14,12,FALSE
28182,25787,28139,1000000,14,13,FALSE
28138,25807,28166,1000000,14,14,FALSE
28408,25739,28092,1000000,14,15,FALSE
28252,25773,28135,1000000,14,16,FALSE
27988,25857,28225,1000000,14,17,FALSE
28288,25771,28129,1000000,14,18,FALSE
28166,25816,28185,1000000,14,19,FALSE
28555,25710,28068,1000000,14,20,FALSE
27993,25868,28241,1000000,14,21,FALSE
27629,25955,28333,1000000,14,22,FALSE
28299,25774,28134,1000000,14,23,FALSE
27875,25908,28296,1000000,14,24,FALSE
27841,25893,28265,1000000,14,25,FALSE
28442,25750,28120,1000000,14,26,FALSE
28096,25835,28205,1000000,14,27,FALSE
28333,25774,28141,1000000,14,28,FALSE
28263,25794,28165,1000000,14,29,FALSE
28134,25814,28175,1000000,14,30,FALSE
28049,25838,28200,1000000,14,31,FALSE
28561,25695,28050,1000000,14,32,FALSE
28215,25790,28150,1000000,14,33,FALSE
28386,25760,28124,1000000,14,34,FALSE
27963,25854,28216,1000000,14,35,FALSE
28106,25821,28183,1000000,14,36,FALSE
28178,25811,28182,1000000,14,37,FALSE
27970,25872,28246,1000000,14,38,FALSE
28364,25758,28122,1000000,14,39,FALSE
28218,25781,28136,1000000,14,40,FALSE
28304,25775,28145,1000000,14,41,FALSE
28249,25782,28144,1000000,14,42,FALSE
28317,25779,28145,1000000,14,43,FALSE
28494,25730,28090,1000000,14,44,FALSE
28062,25842,28212,1000000,14,45,FALSE
28472,25709,28054,1000000,14,46,FALSE
28643,25698,28062,1000000,14,47,FALSE
28082,25840,28209,1000000,14,48,FALSE
27766,25912,28281,1000000,14,49,FALSE
27788,25912,28286,1000000,14,50,FALSE
27516,25991,28379,1000000,14,51,FALSE
27816,25912,28288,1000000,14,52,FALSE
27906,25902,28286,1000000,14,53,FALSE
28487,25726,28089,1000000,14,54,FALSE
28489,25714,28070,1000000,14,55,FALSE
28338,25762,28120,1000000,14,56,FALSE
28320,25756,28108,1000000,14,57,FALSE
27957,25878,28253,1000000,14,58,FALSE
28450,25731,28085,1000000,14,59,FALSE
27744,25944,28331,1000000,14,60,FALSE
28097,25831,28199,1000000,14,61,FALSE
28270,25786,28155,1000000,14,62,FALSE
28387,25734,28081,1000000,14,63,FALSE
27653,25963,28348,1000000,14,64,FALSE
28633,25685,28040,1000000,14,65,FALSE
28500,25687,28030,1000000,14,66,FALSE
28032,25855,28224,1000000,14,67,FALSE
28459,25725,28084,1000000,14,68,FALSE
28126,25820,28183,1000000,14,69,FALSE
28108,25829,28201,1000000,14,70,FALSE
28009,25843,28207,1000000,14,71,FALSE
27756,25934,28312,1000000,14,72,FALSE
28189,25803,28168,1000000,14,73,FALSE
28200,25795,28156,1000000,14,74,FALSE
28264,25773,28130,1000000,14,75,FALSE
28138,25806,28162,1000000,14,76,FALSE
28461,25751,28120,1000000,14,77,FALSE
28131,25801,28152,1000000,14,78,FALSE
28319,25770,28135,1000000,14,79,FALSE
28056,25833,28196,1000000,14,80,FALSE
27841,25911,28295,1000000,14,81,FALSE
28168,25801,28164,1000000,14,82,FALSE
28071,25829,28188,1000000,14,83,FALSE
28322,25772,28140,1000000,14,84,FALSE
28081,25831,28195,1000000,14,85,FALSE
28194,25804,28168,1000000,14,86,FALSE
28632,25699,28060,1000000,14,87,FALSE
28259,25777,28136,1000000,14,88,FALSE
